,count,wins,winsPerRace,meanOdds,oddsTotal
Claes Svensson,256,25,0.09765625,19.54296875,5003
Ossi Nurmonen,256,51,0.19921875,12.83203125,3285
Mika Jauhola,254,20,0.07874015748031496,28.858267716535433,7330
Erik Berglöf,253,18,0.07114624505928854,27.296442687747035,6906
Anders Svanstedt,253,22,0.08695652173913043,17.92490118577075,4535
Tomas S Andersson,251,6,0.02390438247011952,56.33864541832669,14141
Aripekka Pakkanen,251,34,0.13545816733067728,15.207171314741036,3817
Erkki-Pekka Mäkinen,250,52,0.208,13.616,3404
Daniel Wikberg,250,38,0.152,14.148,3537
Jan-Olov Åberg,249,9,0.03614457831325301,37.80722891566265,9414
Svend Dyhrberg,249,7,0.028112449799196786,38.42168674698795,9567
Nyyti-Maria Timonen,246,33,0.13414634146341464,22.447154471544714,5522
Harri Kotilainen,246,46,0.18699186991869918,10.56910569105691,2600
Taija Mäki-Mustapää,243,15,0.06172839506172839,31.559670781893004,7669
Krister Jakobsson,243,22,0.09053497942386832,19.135802469135804,4650
Petteri Joki,243,43,0.17695473251028807,16.609053497942387,4036
Oskar Kylin Blom,243,32,0.13168724279835392,15.831275720164609,3847
Roger Pettersson,242,10,0.04132231404958678,39.20661157024794,9488
Jeanet Årman,241,11,0.04564315352697095,46.16597510373444,11126
Arsi Skyttä,238,17,0.07142857142857142,29.210084033613445,6952
Caroline Holm,238,15,0.06302521008403361,27.0,6426
Pasi Tikkala,238,15,0.06302521008403361,30.647058823529413,7294
Jan Ove Olsen,237,21,0.08860759493670886,29.852320675105485,7075
Terho Rautiainen,237,41,0.1729957805907173,17.79746835443038,4218
Mats Bucht,235,14,0.059574468085106386,21.56595744680851,5068
Ricky Eklund,235,18,0.07659574468085106,24.131914893617022,5671
Tiina Koskinen,234,32,0.13675213675213677,24.28205128205128,5682
Lars-Åke Söderholm,233,16,0.06866952789699571,33.21888412017167,7740
Mikael Cedergren,231,18,0.07792207792207792,34.25108225108225,7912
Hannu Korpi,231,33,0.14285714285714285,14.558441558441558,3363
Christa Packalen,230,56,0.24347826086956523,10.5,2415
Katarina Aurell Laursen,229,3,0.013100436681222707,43.698689956331876,10007
Ola Åsebö,227,12,0.05286343612334802,44.88986784140969,10190
Robert Dunder,225,48,0.21333333333333335,11.6,2610
Fredrik Fransson,225,11,0.04888888888888889,30.28,6813
Heikki Mikkonen,223,34,0.15246636771300448,12.197309417040358,2720
Veronica Sundberg,223,13,0.05829596412556054,37.318385650224215,8322
Tom Horpestad,223,14,0.06278026905829596,25.847533632286996,5764
Juuso Holttinen,219,34,0.1552511415525114,17.296803652968038,3788
Wilhelm Paal,219,27,0.1232876712328767,15.452054794520548,3384
Petter Lundberg,215,24,0.11162790697674418,15.111627906976745,3249
Pertti Isotalo,212,18,0.08490566037735849,21.72641509433962,4606
Claes Eskilsson,211,15,0.07109004739336493,33.27014218009479,7020
Timo Toiviainen,210,19,0.09047619047619047,26.214285714285715,5505
Olle Elfstrand,209,18,0.0861244019138756,27.952153110047846,5842
Mikko Aho,208,22,0.10576923076923077,18.370192307692307,3821
Stig Jarle Röste,208,9,0.04326923076923077,31.120192307692307,6473
Kerstin Hell,208,9,0.04326923076923077,36.9375,7683
Åsa Bäck,208,3,0.014423076923076924,64.3798076923077,13391
Lise-Lotte Nyström,207,32,0.15458937198067632,22.801932367149757,4720
Laura Myllymaa,207,24,0.11594202898550725,20.92753623188406,4332
Anders Göstasson,206,8,0.038834951456310676,45.39320388349515,9351
Kristian Lindberg,205,20,0.0975609756097561,23.09268292682927,4734
Peter Grundmann,205,20,0.0975609756097561,18.921951219512195,3879
Veli-Erkki Paavola,204,47,0.23039215686274508,14.465686274509803,2951
Mikael J Andersson,201,19,0.0945273631840796,23.915422885572138,4807
Sanna Kiiski,201,8,0.03980099502487562,27.91044776119403,5610
Jenni H Åsberg,201,15,0.07462686567164178,16.606965174129353,3338
Dick Robertsson,200,11,0.055,40.175,8035
Timo Salmela,198,37,0.18686868686868688,14.333333333333334,2838
Petri Klemola,196,47,0.23979591836734693,9.811224489795919,1923
Micael Broberg,194,10,0.05154639175257732,37.345360824742265,7245
Pasi Aikio,194,39,0.20103092783505155,11.139175257731958,2161
Jorma Ruokonen,194,4,0.020618556701030927,50.74226804123711,9844
Zandra Vidén,194,11,0.05670103092783505,39.34020618556701,7632
Thomas Dalborg,192,24,0.125,20.21875,3882
Patrik Jacobsson,191,7,0.03664921465968586,39.49214659685864,7543
Maarit Ollikainen,191,30,0.15706806282722513,16.6282722513089,3176
Eija Sorvisto,191,24,0.1256544502617801,20.612565445026178,3937
Tuija Irri,190,35,0.18421052631578946,20.678947368421053,3929
Fredrik Linder,190,31,0.1631578947368421,16.647368421052633,3163
Mats L Andersson,188,11,0.05851063829787234,29.3031914893617,5509
Pia Huusari,188,19,0.10106382978723404,26.632978723404257,5007
