,count,wins,winsPerRace,meanOdds,oddsTotal
Frosty Vice,44,2,0.045454545454545456,38.70454545454545,1703
Flare* (SE),44,3,0.06818181818181818,42.0,1848
Giresse Boko (SE),43,3,0.06976744186046512,24.53488372093023,1055
Che Boko* (SE),43,1,0.023255813953488372,49.81395348837209,2142
Komento,43,4,0.09302325581395349,32.2093023255814,1385
Rene Conductor,43,4,0.09302325581395349,27.86046511627907,1198
Murolii,43,1,0.023255813953488372,30.209302325581394,1299
Indian Four* (SE),43,1,0.023255813953488372,46.651162790697676,2006
Cousin Evert,43,9,0.20930232558139536,16.976744186046513,730
Il Mio Hooligan* (SE),43,0,0.0,33.06976744186046,1422
Nitro Diablo (SE),43,10,0.23255813953488372,9.720930232558139,418
Varjonova,43,1,0.023255813953488372,31.837209302325583,1369
Oiva-Sointu,43,8,0.18604651162790697,22.209302325581394,955
Ajlexes Cubano* (SE),43,10,0.23255813953488372,17.86046511627907,768
Westline* (SE),43,3,0.06976744186046512,48.0,2064
Tuiskuta,43,0,0.0,53.18604651162791,2287
Ripasso Classico,43,4,0.09302325581395349,23.11627906976744,994
Teresa Max,43,0,0.0,62.69767441860465,2696
Callaway Scoop (SE),43,3,0.06976744186046512,24.325581395348838,1046
Benon Safiro,43,1,0.023255813953488372,64.13953488372093,2758
Villieri,42,5,0.11904761904761904,20.357142857142858,855
Dream Of Celebrity,42,4,0.09523809523809523,16.023809523809526,673
Tuli-Rubiini,42,0,0.0,33.714285714285715,1416
Piskon Pouta,42,12,0.2857142857142857,8.880952380952381,373
Västerbo Jeppe* (SE),42,1,0.023809523809523808,30.595238095238095,1285
Vilma Lyydia,42,4,0.09523809523809523,22.904761904761905,962
Three Dee Nodo,42,3,0.07142857142857142,28.0,1176
Faks Nils* (SE),42,4,0.09523809523809523,52.45238095238095,2203
Taika-Tähkä,42,0,0.0,93.11904761904762,3911
Winzet,42,4,0.09523809523809523,24.30952380952381,1021
Ester Joy* (SE),42,3,0.07142857142857142,48.0,2016
Ellen Ray,42,0,0.0,56.666666666666664,2380
St No More War* (SE),42,4,0.09523809523809523,32.38095238095238,1360
Kakan Gertorp* (SE),42,2,0.047619047619047616,44.785714285714285,1881
Boss Gutset,42,4,0.09523809523809523,23.0,966
Tuurin Toivo,42,5,0.11904761904761904,18.833333333333332,791
Hönn Blesa* (NO),42,3,0.07142857142857142,34.45238095238095,1447
Villihiisi,42,2,0.047619047619047616,34.785714285714285,1461
Grapetsiinasine,42,1,0.023809523809523808,32.285714285714285,1356
Anddontsayitsover* (SE),42,4,0.09523809523809523,31.357142857142858,1317
Morison,42,12,0.2857142857142857,10.333333333333334,434
Beauty Erin,42,0,0.0,57.73809523809524,2425
Pyörylän Paroni,42,4,0.09523809523809523,22.80952380952381,958
Lillsves Davrik* (SE),42,1,0.023809523809523808,59.54761904761905,2501
Vilox,42,0,0.0,21.88095238095238,919
Jennyn Lumikki,42,0,0.0,34.92857142857143,1467
Real Doc* (SE),41,1,0.024390243902439025,39.24390243902439,1609
Athletic Division* (NO),41,2,0.04878048780487805,40.1219512195122,1645
C.R.Nobless* (SE),41,0,0.0,65.48780487804878,2685
Siiri Vei,41,1,0.024390243902439025,33.170731707317074,1360
Hilun Vipinä,41,1,0.024390243902439025,34.63414634146341,1420
Langen's Isis,41,0,0.0,44.09756097560975,1808
Vertigo Knekten* (NO),41,6,0.14634146341463414,17.51219512195122,718
Mr Jäger* (SE),41,2,0.04878048780487805,40.170731707317074,1647
Mökin Tähti,41,1,0.024390243902439025,38.0,1558
BWT Angryman,41,4,0.0975609756097561,22.975609756097562,942
Loikkaus,41,2,0.04878048780487805,20.804878048780488,853
Dreambow,41,4,0.0975609756097561,23.51219512195122,964
Global Tail* (SE),41,2,0.04878048780487805,19.414634146341463,796
Alex Ås* (SE),41,1,0.024390243902439025,36.80487804878049,1509
Lex Peidei* (NO),41,6,0.14634146341463414,19.0,779
Royal Prince* (SE),41,0,0.0,57.53658536585366,2359
Oleander Face* (SE),41,5,0.12195121951219512,24.658536585365855,1011
Going Ville (SE),41,0,0.0,70.21951219512195,2879
Micro Queen,41,1,0.024390243902439025,40.170731707317074,1647
Ganador,41,1,0.024390243902439025,45.51219512195122,1866
Vennelmon Tyyne,41,1,0.024390243902439025,41.36585365853659,1696
Willen Vappu,41,2,0.04878048780487805,31.658536585365855,1298
Maffioso Face (SE),41,6,0.14634146341463414,16.878048780487806,692
Triple Ray,41,6,0.14634146341463414,14.78048780487805,606
Aika Kiho,41,1,0.024390243902439025,80.85365853658537,3315
Naskalin Helmi,41,1,0.024390243902439025,33.073170731707314,1356
Spanish Rose* (SE),41,2,0.04878048780487805,32.63414634146341,1338
Chocolate Gold* (SE),41,1,0.024390243902439025,38.36585365853659,1573
Poikolan Neito,41,7,0.17073170731707318,17.975609756097562,737
N.P. Turbo,40,4,0.1,13.15,526
Tulipiippu,40,3,0.075,25.2,1008
Kallsup* (SE),40,2,0.05,41.025,1641
Paddock's Star,40,4,0.1,18.975,759
Sacramento S (SE),40,2,0.05,49.0,1960
Vieskerin Valo,40,2,0.05,65.425,2617
Närbyflickan* (SE),40,4,0.1,22.475,899
An-Andree,40,2,0.05,24.925,997
Pirttilän Mortti,40,1,0.025,34.075,1363
Lecrosse,40,0,0.0,38.425,1537
Elvis Tabac* (SE),40,2,0.05,38.8,1552
Global Tug of War (SE),40,0,0.0,41.125,1645
Sapphira,40,3,0.075,43.45,1738
Domingo Frei* (SE),40,4,0.1,26.3,1052
Mister Lane,40,4,0.1,16.2,648
Dex Dynamite* (SE),40,1,0.025,59.425,2377
Kitty Beat,40,2,0.05,27.9,1116
Super Photo Bood* (SE),40,5,0.125,21.875,875
Livinginmydream* (SE),40,2,0.05,38.475,1539
Siinan Tähti,40,5,0.125,21.6,864
Satiinin Saku,40,0,0.0,59.25,2370
The Chief Of Rome,40,3,0.075,16.825,673
Hipatsu,40,10,0.25,7.95,318
Wasa Windy* (FI),40,4,0.1,17.175,687
High Flying,40,1,0.025,29.325,1173
Vagabondo,40,0,0.0,39.4,1576
Jugador,40,14,0.35,5.45,218
East Jahunga* (SE),40,3,0.075,36.475,1459
Stardust Fibber,40,3,0.075,23.625,945
Polara,40,13,0.325,5.75,230
Vincent Croft,40,4,0.1,24.825,993
Una Signora,40,0,0.0,62.65,2506
Wild Hot Shot* (FI),40,1,0.025,37.425,1497
Gabriella Sunsign,39,2,0.05128205128205128,45.30769230769231,1767
Overtimeosåfin* (SE),39,4,0.10256410256410256,23.641025641025642,922
Lilla Robert,39,1,0.02564102564102564,36.64102564102564,1429
Onon Nopsahotti,39,2,0.05128205128205128,23.743589743589745,926
Wasa Warrior* (FI),39,8,0.20512820512820512,15.102564102564102,589
Millstone's Vivid,39,3,0.07692307692307693,29.17948717948718,1138
Hazelhen Hemera,39,1,0.02564102564102564,36.51282051282051,1424
A.T. Veeti,39,9,0.23076923076923078,14.102564102564102,550
Esta* (SE),39,3,0.07692307692307693,22.666666666666668,884
Real Arch,39,4,0.10256410256410256,30.333333333333332,1183
Wauhti,39,8,0.20512820512820512,16.435897435897434,641
Bella on Tour* (SE),39,4,0.10256410256410256,35.15384615384615,1371
Chamille* (SE),39,1,0.02564102564102564,72.64102564102564,2833
Sangrita Ås* (US),39,4,0.10256410256410256,25.23076923076923,984
The Rector,39,6,0.15384615384615385,13.205128205128204,515
Enjoy Pepper,39,5,0.1282051282051282,17.71794871794872,691
Aparis,39,8,0.20512820512820512,22.102564102564102,862
Basswood Grove,39,3,0.07692307692307693,45.38461538461539,1770
On the Dot* (SE),39,0,0.0,111.1025641025641,4333
Sundbo Tibast* (SE),39,1,0.02564102564102564,43.48717948717949,1696
Carhu* (SE),39,2,0.05128205128205128,56.76923076923077,2214
Jasun Velho,39,3,0.07692307692307693,23.025641025641026,898
Jeppas Picasso* (SE),39,1,0.02564102564102564,19.82051282051282,773
Klena Vito (SE),39,1,0.02564102564102564,14.846153846153847,579
Annin Vappu,39,3,0.07692307692307693,36.76923076923077,1434
Shadow Of Brisbane,39,16,0.41025641025641024,5.82051282051282,227
Villiheili,39,2,0.05128205128205128,24.384615384615383,951
Turn to Win* (SE),39,2,0.05128205128205128,37.41025641025641,1459
Rasmus Karma* (SE),39,5,0.1282051282051282,20.666666666666668,806
Comet Alley,39,3,0.07692307692307693,48.333333333333336,1885
Diktaattori,39,10,0.2564102564102564,8.384615384615385,327
Gold Narva,39,8,0.20512820512820512,18.615384615384617,726
Terri Hörsta* (SE),39,1,0.02564102564102564,49.61538461538461,1935
Lindy Poppins,39,10,0.2564102564102564,24.307692307692307,948
Hunter Dillon* (FI),39,3,0.07692307692307693,26.384615384615383,1029
Hulluduunari,39,5,0.1282051282051282,16.41025641025641,640
Annan,39,3,0.07692307692307693,40.94871794871795,1597
Andy Pandy* (SE),39,0,0.0,43.23076923076923,1686
Dragondamour Sisu* (SE),39,2,0.05128205128205128,34.97435897435897,1364
Carda,39,4,0.10256410256410256,26.384615384615383,1029
Heather Bound* (US),39,0,0.0,64.07692307692308,2499
Dark Alley,39,6,0.15384615384615385,10.461538461538462,408
Helkan Terttu,39,1,0.02564102564102564,27.28205128205128,1064
Sipin Onni,39,0,0.0,67.71794871794872,2641
Mogas Piggelin* (SE),39,1,0.02564102564102564,45.76923076923077,1785
Kom Leia* (SE),39,3,0.07692307692307693,23.307692307692307,909
Koskelan Akseli,39,3,0.07692307692307693,17.94871794871795,700
Ävja Palema* (SE),39,2,0.05128205128205128,24.53846153846154,957
Ready Press,39,5,0.1282051282051282,15.153846153846153,591
Suvilei,39,3,0.07692307692307693,25.512820512820515,995
Josveis,39,11,0.28205128205128205,9.025641025641026,352
Vinha-Topi,39,3,0.07692307692307693,23.53846153846154,918
Gaiana,39,3,0.07692307692307693,24.71794871794872,964
Alicia Bore* (SE),38,9,0.23684210526315788,17.473684210526315,664
Kaggens Kitty* (SE),38,0,0.0,60.73684210526316,2308
Ranch Newman,38,5,0.13157894736842105,18.92105263157895,719
Hurjaharja,38,3,0.07894736842105263,26.026315789473685,989
Minto's Don Juan,38,14,0.3684210526315789,5.7631578947368425,219
Naputus,38,4,0.10526315789473684,24.210526315789473,920
Sentry (US),38,1,0.02631578947368421,48.73684210526316,1852
Virin Vihtori,38,2,0.05263157894736842,25.473684210526315,968
Ain't She Sweet,38,6,0.15789473684210525,14.447368421052632,549
Hard Chip,38,6,0.15789473684210525,13.236842105263158,503
Diesel Degato,38,8,0.21052631578947367,13.105263157894736,498
Callela Kailash,38,2,0.05263157894736842,25.07894736842105,953
Benita* (SE),38,1,0.02631578947368421,45.26315789473684,1720
Erehys,38,7,0.18421052631578946,9.736842105263158,370
Super Benny* (SE),38,0,0.0,37.28947368421053,1417
Fantom* (SE),38,4,0.10526315789473684,19.05263157894737,724
Denna,38,0,0.0,35.94736842105263,1366
Prayer's Hope,38,2,0.05263157894736842,31.763157894736842,1207
Fundover Match,38,4,0.10526315789473684,34.3421052631579,1305
Zizzy Highness,38,2,0.05263157894736842,17.026315789473685,647
Gear Extension* (SE),38,3,0.07894736842105263,32.76315789473684,1245
Uncertain When* (SE),38,7,0.18421052631578946,15.18421052631579,577
Uljas Suomalainen,38,4,0.10526315789473684,21.157894736842106,804
Fire on Fire* (SE),38,1,0.02631578947368421,50.44736842105263,1917
Jack Vader,38,4,0.10526315789473684,14.026315789473685,533
Power Age (SE),38,1,0.02631578947368421,58.026315789473685,2205
Suvi Kevätön,38,2,0.05263157894736842,50.26315789473684,1910
Tementikko,38,3,0.07894736842105263,32.44736842105263,1233
Social Network* (SE),38,2,0.05263157894736842,37.60526315789474,1429
MacGyver* (SE),38,1,0.02631578947368421,31.210526315789473,1186
Corinna,38,3,0.07894736842105263,24.736842105263158,940
Secret Mission* (US),38,6,0.15789473684210525,27.394736842105264,1041
Kirihai,38,0,0.0,52.3421052631579,1989
In Ice Princess,38,4,0.10526315789473684,23.710526315789473,901
Landers Giant W.F.* (SE),38,1,0.02631578947368421,33.18421052631579,1261
Minessa* (SE),38,4,0.10526315789473684,22.526315789473685,856
Hope's Legacy,38,0,0.0,70.26315789473684,2670
Tähtimenevä,38,4,0.10526315789473684,19.710526315789473,749
On Stage Indika* (SE),38,6,0.15789473684210525,19.94736842105263,758
Carleman,38,5,0.13157894736842105,10.026315789473685,381
Victor Quo Vadis,38,2,0.05263157894736842,29.157894736842106,1108
Heavy Beat,38,10,0.2631578947368421,8.552631578947368,325
Harminimoon Tinker,37,3,0.08108108108108109,20.83783783783784,771
Finosåfin* (SE),37,1,0.02702702702702703,47.567567567567565,1760
Belgram Pinus,37,1,0.02702702702702703,44.0,1628
Maharania Jons* (SE),37,5,0.13513513513513514,19.675675675675677,728
Power Memphis* (SE),37,2,0.05405405405405406,30.486486486486488,1128
Doolin Dalton,37,6,0.16216216216216217,21.7027027027027,803
Maverick Dream* (SE),37,7,0.1891891891891892,8.27027027027027,306
Ringhio O.K.* (IT),37,3,0.08108108108108109,33.270270270270274,1231
Turon Linda,37,2,0.05405405405405406,44.32432432432432,1640
Expanse's Hope,37,2,0.05405405405405406,33.810810810810814,1251
Golden Eleven,37,5,0.13513513513513514,17.675675675675677,654
Reverend Dred (SE),37,12,0.32432432432432434,8.783783783783784,325
Archie Press,37,3,0.08108108108108109,24.43243243243243,904
Cadillac Dimanche* (SE),37,1,0.02702702702702703,63.91891891891892,2365
Carja* (SE),37,0,0.0,31.10810810810811,1151
Noble Heart Nova,37,0,0.0,63.67567567567568,2356
Tiger Williams* (SE),37,2,0.05405405405405406,23.54054054054054,871
Candy R.S.* (SE),37,1,0.02702702702702703,27.37837837837838,1013
Jussin Sointu,37,3,0.08108108108108109,19.594594594594593,725
Uusi-Valtsu,37,1,0.02702702702702703,32.513513513513516,1203
Unnan Tähti,37,2,0.05405405405405406,36.0,1332
Sue's Photo,37,7,0.1891891891891892,13.54054054054054,501
Bailiff* (SE),37,1,0.02702702702702703,26.08108108108108,965
Castor U.M. (SE),37,0,0.0,86.13513513513513,3187
Callela Kassius,37,1,0.02702702702702703,28.405405405405407,1051
Contro Vento,37,2,0.05405405405405406,38.891891891891895,1439
Clay Brick,37,5,0.13513513513513514,15.027027027027026,556
Westcoast Skipper,37,9,0.24324324324324326,11.756756756756756,435
The Dude,37,9,0.24324324324324326,13.027027027027026,482
Pyöriän Wiising,37,0,0.0,25.08108108108108,928
Ranch Movie Star,37,1,0.02702702702702703,37.32432432432432,1381
Vex Ant Expert,37,0,0.0,52.37837837837838,1938
M.T. Kitty (SE),37,4,0.10810810810810811,13.675675675675675,506
Art Kjarvald* (NO),37,2,0.05405405405405406,30.324324324324323,1122
Blue Flash,37,3,0.08108108108108109,22.486486486486488,832
Photo* (SE),37,1,0.02702702702702703,33.32432432432432,1233
Julia Kaulitz* (SE),37,3,0.08108108108108109,18.7027027027027,692
Tiger Star,37,0,0.0,49.648648648648646,1837
Wild Love* (SE),37,9,0.24324324324324326,9.72972972972973,360
Päivän Pokeri,37,2,0.05405405405405406,39.75675675675676,1471
Flying Heel,37,3,0.08108108108108109,24.864864864864863,920
Yakari* (SE),37,3,0.08108108108108109,23.64864864864865,875
Le Blixten,37,1,0.02702702702702703,31.0,1147
Imperial Corner* (DE),37,3,0.08108108108108109,28.56756756756757,1057
Ukaasi,37,1,0.02702702702702703,42.432432432432435,1570
Rose's Nella,37,3,0.08108108108108109,12.783783783783784,473
Tommasi* (SE),37,1,0.02702702702702703,43.189189189189186,1598
Chrome,37,3,0.08108108108108109,29.756756756756758,1101
Alice Ruda* (SE),37,2,0.05405405405405406,54.027027027027025,1999
Fakir Victory,37,2,0.05405405405405406,19.405405405405407,718
Don Pescador,37,4,0.10810810810810811,17.91891891891892,663
Magnifico S (SE),37,13,0.35135135135135137,10.432432432432432,386
Jottei,37,1,0.02702702702702703,41.513513513513516,1536
Dhori* (SE),37,2,0.05405405405405406,41.32432432432432,1529
Ex Gracy,37,0,0.0,53.21621621621622,1969
Club Nord Star,37,1,0.02702702702702703,28.45945945945946,1053
Piedmont (SE),37,2,0.05405405405405406,17.62162162162162,652
Gunvald,37,3,0.08108108108108109,20.62162162162162,763
Boulder Rocket,37,7,0.1891891891891892,7.8108108108108105,289
Ranch Pronto,37,4,0.10810810810810811,31.945945945945947,1182
Arnie's Best Boy* (SE),37,0,0.0,35.189189189189186,1302
Atos Palmen,37,0,0.0,50.891891891891895,1883
Easy Vacation,37,4,0.10810810810810811,23.54054054054054,871
Enjoy Boost,37,1,0.02702702702702703,29.0,1073
Tiger Shark,37,0,0.0,49.21621621621622,1821
April Sisu* (SE),37,4,0.10810810810810811,19.35135135135135,716
Quantanamera* (SE),37,3,0.08108108108108109,26.18918918918919,969
Ypäjä Hereiam,37,8,0.21621621621621623,10.621621621621621,393
Kurt Sånna (SE),37,0,0.0,54.108108108108105,2002
Mr Golden Quick* (SE),37,13,0.35135135135135137,6.513513513513513,241
BWT Crusader,36,6,0.16666666666666666,12.63888888888889,455
Googla* (SE),36,0,0.0,60.52777777777778,2179
Rupeltaja,36,6,0.16666666666666666,8.38888888888889,302
Hijack'em (SE),36,5,0.1388888888888889,15.944444444444445,574
Kiss Me Kate T.J.* (SE),36,0,0.0,57.166666666666664,2058
Werner Ors,36,4,0.1111111111111111,26.583333333333332,957
Moon Eagle,36,3,0.08333333333333333,29.97222222222222,1079
Krista,36,2,0.05555555555555555,45.5,1638
Sunbird Chelsea* (SE),36,0,0.0,71.44444444444444,2572
Digital Circle* (SE),36,2,0.05555555555555555,41.44444444444444,1492
Elliot Boko (SE),36,7,0.19444444444444445,11.416666666666666,411
Capo The Eemil,36,6,0.16666666666666666,29.52777777777778,1063
Desideria de Soze* (SE),36,5,0.1388888888888889,19.36111111111111,697
Charming Evy Sisu* (NO),36,0,0.0,45.361111111111114,1633
Isn't it Ironic* (SE),36,1,0.027777777777777776,31.5,1134
Classic Gentleman* (SE),36,1,0.027777777777777776,60.72222222222222,2186
Hopeless Guy,36,2,0.05555555555555555,28.77777777777778,1036
Lily's Star,36,2,0.05555555555555555,20.916666666666668,753
Freelancer,36,14,0.3888888888888889,7.861111111111111,283
Noran Pot,36,2,0.05555555555555555,33.44444444444444,1204
Loikkar,36,4,0.1111111111111111,26.666666666666668,960
Lessons In Love,36,5,0.1388888888888889,14.666666666666666,528
Die Kaiserin,36,6,0.16666666666666666,18.555555555555557,668
Fröken Sting* (SE),36,4,0.1111111111111111,21.36111111111111,769
Packer,36,4,0.1111111111111111,26.75,963
Menoks,36,10,0.2777777777777778,10.083333333333334,363
Kias Mando* (SE),36,3,0.08333333333333333,30.944444444444443,1114
Falcon Håleryd (SE),36,4,0.1111111111111111,33.0,1188
Slovari,36,2,0.05555555555555555,29.75,1071
New Moon* (SE),36,2,0.05555555555555555,37.611111111111114,1354
Excalibur It,36,13,0.3611111111111111,8.472222222222221,305
Ukkosen Jymy,36,4,0.1111111111111111,14.0,504
Cocosnöten* (SE),36,0,0.0,33.916666666666664,1221
Speak Of The Devil,36,2,0.05555555555555555,36.0,1296
Captain Sisu* (SE),36,3,0.08333333333333333,32.611111111111114,1174
MAS Bella,36,3,0.08333333333333333,18.13888888888889,653
Villi-Sihko,36,0,0.0,45.22222222222222,1628
Omaha Zenz* (SE),36,3,0.08333333333333333,31.75,1143
