,count,wins,winsPerRace,meanOdds,oddsTotal
Power Jet* (FR),6,0,0.07617318552080012,16.666666666666668,100
Master Thoj,6,1,0.07430321662593649,16.0,96
Staro Yzerman,5,1,0.07433939213989173,48.6,243
To the Gate,5,1,0.07426960429827123,38.8,194
Ruudun Humu,5,0,0.07428110783069418,38.0,190
Habitat,5,0,0.07649940704996865,18.8,94
Good Quito* (FR),5,0,0.0745711296139126,101.8,509
Jetstile,5,0,0.0746435268593916,33.0,165
Brillantissime,5,0,0.07643816100325258,18.4,92
Ozio Royal,5,0,0.07448024120566332,27.0,135
Juliano Rags,5,0,0.07429687641560213,22.4,112
Libeccio Grif,5,1,0.07591189826413129,16.8,84
Suikku,5,0,0.0739394720259212,41.4,207
Sterk Odd,5,0,0.07367317751117052,55.2,276
Dancer's Victory* (US),5,0,0.07389685561553161,69.2,346
Gerd November,5,0,0.07471391425888702,28.0,140
Jaguaari,5,0,0.07594323945440576,17.8,89
Åsajerven* (NO),5,1,0.07605027460018779,25.8,129
Silver Pine,5,0,0.07591677307913303,22.2,111
Sahara Dynamite* (SE),5,0,0.07433972351849463,47.0,235
Opium,5,1,0.07411829811626283,29.2,146
Dalelden,5,0,0.07404570197907498,16.6,83
A.T. Veli,5,1,0.07490086696952915,13.0,65
Mandarino Blue,5,0,0.0741365095201988,24.6,123
Rocklyn* (FR),5,0,0.07600644158889085,12.4,62
Bowl Winner K* (US),5,0,0.07606921493595413,64.2,321
Dream Director,5,1,0.07427559516406103,10.4,52
Mr Vic,5,0,0.07594191278286751,13.4,67
Viuru,5,0,0.07635007324219807,57.4,287
Photocopy,5,1,0.07601341600316557,26.4,132
Berndt Hanover,5,0,0.07470473015172499,71.2,356
Googoo Gaagaa* (US),5,0,0.07602667280818014,12.6,63
Krembest,5,0,0.07460050465370896,67.4,337
Victor Victor* (US),5,0,0.07479944159306642,180.0,900
Kanonis Lobell,5,0,0.07616072775810213,95.6,478
From Above U.S.,5,1,0.07482393602672721,9.8,49
Rallaati,5,0,0.07606945402512408,25.0,125
Tangen Scott* (NO),5,0,0.07639079352683244,43.6,218
Formula One* (US),5,0,0.07601669116057237,14.0,70
Nikolai H,5,0,0.0757156445206398,80.6,403
Slåttodin,5,1,0.07576421420894149,6.8,34
Solvato,5,0,0.07597287750572478,13.0,65
Rancho Gede,5,0,0.07511846902654902,26.8,134
Meaulnes Du Corta* (FR),5,0,0.07550512822071695,58.2,291
Veeran Turo,5,0,0.0759776544813947,26.2,131
Shim,5,0,0.07493126102479453,56.6,283
Yorktown Gunner* (CA),5,0,0.07506574916882748,22.4,112
Lome Mix,5,1,0.07612626133834717,27.0,135
Vänskä,5,1,0.07415656449598679,22.2,111
Yankee Granite,5,0,0.07409054394080739,77.8,389
Suikun Lukko,5,0,0.07566790309786363,51.2,256
